Countries,Positive_Cases,Negative_Cases,Survive,Death,Vaccination_Date
United States,"10,00,00,000","50,00,00,000","9,00,00,000","10,00,000",14-12-2020
India,"4,50,00,000","30,00,00,000","4,30,00,000","5,30,000",16-01-2021
Brazil,"3,60,00,000","12,00,00,000","3,40,00,000","7,00,000",17-01-2021
Germany,"1,00,00,000","5,00,00,000","95,00,000","1,20,000",27-12-2020
Australia,"1,20,00,000","4,00,00,000","1,19,00,000","20,000",22-02-2021
United Kingdom,"2,00,00,000","7,00,00,000","1,90,00,000","1,50,000",08-12-2020
Canada,"70,00,000","3,50,00,000","68,00,000","45,000",14-12-2020
South Africa,"40,00,000","1,50,00,000","3,80,00,000","1,00,000",17-02-2021
Russia,"2,50,00,000","10,00,00,000","2,40,00,000","5,00,000",18-01-2021
China,"50,00,000","2,00,00,000","4,80,00,000","10,000",01-03-2021
Japan,"1,05,00,000","5,00,00,000","1,02,00,000","60,000",15-02-2021
Italy,"1,50,00,000","6,00,00,000","1,45,00,000","1,40,000",27-12-2020
France,"1,25,00,000","7,00,00,000","1,23,00,000","1,30,000",27-12-2020
Spain,"1,10,00,000","3,00,00,000","1,08,00,000","1,20,000",04-01-2021
Mexico,"1,80,00,000","9,00,00,000","1,70,00,000","2,00,000",11-01-2021
Indonesia,"1,70,00,000","8,00,00,000","1,65,00,000","3,00,000",13-01-2021
Turkey,"1,60,00,000","4,00,00,000","1,55,00,000","1,80,000",14-01-2021
Argentina,"1,40,00,000","3,00,00,000","1,38,00,000","1,60,000",15-01-2021
Colombia,"1,35,00,000","3,50,00,000","1,30,00,000","1,50,000",18-03-2021
South Korea,"80,00,000","2,50,00,000","78,00,000","80,000",01-02-2021
Saudi Arabia,"40,00,000","1,00,00,000","39,00,000","40,000",20-01-2021
Pakistan,"50,00,000","1,50,00,000","48,00,000","50,000",02-02-2021
Iran,"60,00,000","1,20,00,000","55,00,000","70,000",21-01-2021
Thailand,"70,00,000","80,00,000","68,00,000","90,000",08-03-2021
Vietnam,"1,00,00,000","3,00,00,000","98,00,000","1,50,000",12-03-2021
Egypt,"55,00,000","2,50,00,000","52,00,000","75,000",15-03-2021
